Duration (in seconds),ResponseId,UserLanguage,Age,Gender,Education,Country-Birth,Race,Race_4_TEXT,Country-Residence,Native English,Other languages,Other languages 2
575,R_W2nG5nAG5CDw2XL,EN,22,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
1864,R_31Mmi3TloEhpPuB,EN,23,Male,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,Chinese,
831,R_1Km7VjPbHwp5qA4,EN,25,Male,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,Chinese,
725,R_UG802yEVcc17BoR,EN,23,Male,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,Chinese,
4173,R_2ARVn3JN4ebCZUw,EN,22,Female,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,"Chinese,Japanese",
552,R_2qDfC5bLumq9dYc,EN,22,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
885,R_27NBD1FRiO1qu9t,EN,23,Male,GCE 'A' Levels,Singapore,Malay,,Singapore,Yes,"Chinese,Malay",
626,R_2BnQ2Cnx6NwseWR,EN,20,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
982,R_1JJBoqcTA13iUTT,EN,22,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,"Chinese,Thai",
330,R_2uWzgOaddCLFVEA,EN,23,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
404,R_2aV848iAk0Nfmnw,EN,19,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
516,R_qV0rjRNm7AuYj3H,EN,22,Female,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,"Chinese,Korean",
911,R_2Puq0L4uSGckHXz,EN,21,Female,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,Chinese,
593,R_CeRAGmxe4QY7CMN,EN,24,Male,Bachelors Degree,Singapore,Chinese,,Singapore,Yes,Chinese,
4731,R_1pYGIhEJTWY2Tx0,EN,24,Male,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,"Chinese,Other",Teochew
432,R_3mk6pMgITipycD9,EN,22,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
994,R_1OZvqvUYAPZ5mlK,EN,23,Male,Bachelors Degree,Singapore,Chinese,,Singapore,Yes,Chinese,
2391,R_1jCfbfC95uYMSZD,EN,24,Male,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,Chinese,
764,R_38Aww386wldvg89,EN,19,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
811,R_3qVYBEP6mo5xw8w,EN,24,Female,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,Chinese,
1062,R_1DZ84l7qrrAhXRr,EN,24,Male,Bachelors Degree,Singapore,Chinese,,Singapore,Yes,Chinese,
520,R_1rjCMQBS1u0Vyna,EN,20,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
